STATEA,COUNTYA,AJWME001,AJXCE001,AJXCE002,AJXCE003,AJXCE004,AJXCE005,AJXCE006,AJXCE007,AJXCE008,AJXCE009,AJXCE010,AJXCE011,AJXCE012,AJXCE013,AJXCE014,AJXCE015,AJXCE016,AJXCE017,AJXCE018,AJXCE019,AJXCE020,AJXCE021
5,111,24054,9356,8711,7770,941,790,90,3,30,28,5,5,0,0,0,0,0,19,0,134,27,460
5,113,20163,7190,6787,5525,1262,1061,131,67,0,3,18,18,0,0,0,0,0,0,17,71,76,221
5,115,63644,26664,24982,22426,2556,1882,515,91,11,57,81,49,0,0,16,16,0,43,45,513,281,719
5,117,8244,3374,2913,2591,322,221,59,22,13,7,0,0,0,0,0,0,0,0,0,99,85,277
5,119,393463,183844,170791,152868,17923,13412,2669,920,392,530,1499,1414,50,21,0,14,316,233,341,2331,1617,6716
5,121,17603,6728,6311,5550,761,518,196,27,15,5,0,0,0,0,0,0,0,13,0,128,55,221
5,123,26294,8497,7678,6933,745,663,40,12,27,3,0,0,0,0,0,0,17,21,20,103,222,436
5,125,118009,55755,53228,47517,5711,4443,673,289,180,126,23,23,0,0,0,0,0,120,0,305,502,1577
5,127,10442,3617,3452,2865,587,278,232,56,0,21,0,0,0,0,0,0,0,0,18,42,0,105
5,129,7923,3034,2695,2120,575,398,99,41,19,18,13,13,0,0,0,0,0,0,0,117,57,152
5,131,127461,55899,51957,45837,6120,4635,976,270,99,140,312,293,0,19,0,0,48,280,119,1003,625,1555
5,133,17193,7253,6930,5388,1542,947,252,240,47,56,10,10,0,0,0,0,0,21,0,62,32,198
5,135,17043,5787,5367,4621,746,565,114,24,41,2,0,0,0,0,0,0,12,0,0,168,46,194
5,137,12446,4442,3847,3409,438,357,48,24,0,9,0,0,0,0,0,0,0,109,0,152,26,308
5,139,39732,15693,15281,14142,1139,913,174,40,8,4,69,69,0,0,0,0,4,11,14,115,9,190
5,141,16684,5589,5138,4597,541,448,68,15,9,1,0,0,0,0,0,0,0,0,0,113,123,215
5,143,228529,108651,99860,85653,14207,9901,2662,1030,442,172,702,628,0,30,25,19,63,218,577,2156,372,4703
5,145,78804,31879,29376,26475,2901,2194,430,150,112,15,39,35,0,0,2,2,0,63,85,914,215,1187
5,147,6660,2481,2246,1977,269,186,62,0,3,18,16,16,0,0,0,0,0,0,0,63,15,141
5,149,21573,8809,7915,6919,996,739,147,52,37,21,9,9,0,0,0,0,0,10,14,187,92,582
6,1,1643700,767292,547295,471802,75493,52712,15390,4463,2205,723,115383,35473,639,68560,7960,2751,1261,2994,15132,28513,8603,48111
6,3,1146,356,276,235,41,33,7,1,0,0,1,1,0,0,0,0,0,4,0,25,1,49
